expression,reading,meaning
日本 式,にほん しき,"custom,"
位,い,~th place
園,えん,~ garden especially man made
日,か,counter for days
下,か,under ~
化,か,action of making something
科,か,"family, group, course"
歌,か,song of ~
画,が,"picture, painting"
外,がい,out of ~
難い,がたい,hard difficult to do ~
刊,かん,"~ issued magazine, newspaper"
間,かん,"between, during"
巻,かん,volume
館,かん,"~ hall, ~ building"
感,かん,"feeling, sense, impression"
期,き,"~age, ~period"
器,き,"device, equipment"
機,き,machine
気味,ぎみ,slightly ~
教,きょう,religion
行,ぎょう,"line, row"
業,ぎょう,type of business
きる,きる,"nevertheless, to carry through"
切れ,きれ,out of ~
口,くち,"~ opening; ~ entrance, ~ exit"
家,け,"~'s family, the house of ~"
形,けい,shape of ~
系,けい,"~ system, ~ lineage, ~ group"
圏,けん,"bloc, sphere, area"
校,こう,counter for school
港,こう,~ port
号,ごう,counter for magazine; the name of ship
国,こく,nation of ~
毎,ごと,"every ~, each ~"
山,さん,the name of mountain
産,さん,made in ~
史,し,history of ~
紙,し,"newspaper, type of paper"
寺,じ,the name of temple
時間目,じかんめ,"~th hour, ~th period"
室,しつ,counter for room
日,じつ,day
車,しゃ,~ car
者,しゃ,person
社,しゃ,counter for company
手,しゅ,"~ player, person who does ~"
酒,しゅ,kind of alcohol
集,しゅう,collection of ~
所,しょ,place
所,じょ,place
女,じょ,count for sisters
省,しょう,kind of ministry
商,しょう,"merchant, business"
勝,しょう,count for victory
条,じょう,counter for article
場,じょう,"kind of field, ground"
畳,じょう,"count for tatami, mat"
色,しょく,kind of color
過ぎる,すぎる,too much ~
済,ずみ,finished
席,せき,counter for seats
船,せん,counter for ships
戦,せん,"counter for games, matches"
前,ぜん,before ~
沿い,そい,along
艘,そう,counter for ships
足,そく,counter for shoes
だらけ,だらけ,"be full of ~, be filled with ~"
団,だん,"group, corps, party"
着,ちゃく,counter for clothes; finishing place
庁,ちょう,"office, agency"
兆,ちょう,trillion
長,ちょう,"leader, head"
帳,ちょう,"~ book, notebook"
丁目,ちょうめ,"~ district of a town; city, block"
通,つう,counter for letters
遣い,づかい,use of ~
付,つき,with ~
続く,つづく,"follow, continue, go on"
辛い,づらい,hard to do ~
滴,てき,drop
点,てん,counter for scores
頭,とう,counter for animals
等,とう,"level, place"
島,とう,kind of islands
道,どう,"kind of path, road"
通り,とおり,"in accordance with ~; following ~; ~ street, ~ avenue"
ところ,ところ,about to do ~
内,ない,inside ~
年生,ねんせい,counter for school year
泊,はく,"counter for staying e.g., 2 nights"
発,はつ,counter for bullets
番目,ばんめ,~th
費,ひ,cost of ~
病,びょう,kind of disease
部,ぶ,~ part
風,ふう,~ style
振り,ぶり,after an interval of ~
遍,へん,time
弁,べん,"speech, dialect"
歩,ほ,"step, pace"
向け,むけ,for ~
名,めい,counter for people
もち,もち,person who has ~
問,もん,counter for questions
夜,や,counter for nights
等,ら,plural persons
流,りゅう,"fashion, manner, way"
料,りょう,"fare, charge"
領,りょう,territory
力,りょく,power of ~
論,ろん,theory
羽,わ,counter for rabbits; birds
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still"
扇ぐ,あおぐ,"to fan, to flap"
青白い,あおじろい,pale
呆れる,あきれる,"to be shocked, to be appalled"
飽くまで,あくまで,"to the end, to the last, stubbornly"
明くる,あくる,"next, following"
明け方,あけがた,dawn
憧れる,あこがれる,"to long for, to yearn after"
朝寝坊,あさねぼう,"oversleeping, late riser"
足跡,あしあと,footprint
足元,あしもと,at one's feet
味わう,あじわう,"to taste, to savor"
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of"
温まる,あたたまる,to warm oneself
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm"
厚かましい,あつかましい,"impudent, shameless,"
圧縮,あっしゅく,"compression, condensation, pressure"
宛名,あてな,"address, direction"
当てはまる,あてはまる,"to be applicable, to come under a category"
当てはめる,あてはめる,"to apply, to adapt"
暴れる,あばれる,"to act violently, to rage"
脂,あぶら,"fat, tallow, lard"
あぶる,あぶる,"to scorch, to roast"
あふれる,あふれる,"to flood, to overflow"
雨戸,あまど,sliding storm door
甘やかす,あまやかす,"to pamper, to spoil"
余る,あまる,"to be left over, to be in excess"
編み物,あみもの,knitting
あみもの,あみもの,"knitting, web"
編む,あむ,to knit
危うい,あやうい,"dangerous, critical"
怪しい,あやしい,"suspicious, dubious, doubtful"
荒い,あらい,"rough, rude, wild"
粗い,あらい,"coarse, rough"
粗筋,あらすじ,"outline, synopsis"
争う,あらそう,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose"
改めて,あらためて,"another time, again"
改める,あらためる,"to change, to reform, to revise"
あらわす,あらわす,"to write, to publish"
有難い,ありがたい,"grateful, thankful, appreciated"
あれこれ,あれこれ,"one thing or another, this and that"
荒れる,あれる,"to be stormy, to be rough, to be ruined"
慌ただしい,あわただしい,"busy, hurried"
慌てる,あわてる,"to become confused disconcerted, disorganized, to be flustered, to panic, to hurry, to rush, to hasten"
安易,あんい,easy-going
案外,あんがい,"unexpectedly, surprisingly"
言い出す,いいだす,"to start talking, to suggest"
言い付ける,いいつける,"to tell, to order"
意義,いぎ,"meaning, significance"
生き生き,いきいき,"vividly, lively"
幾,いく,several ~
育児,いくじ,"childcare, nursing"
幾分,いくぶん,somewhat
生け花,いけばな,flower arrangement
以後,いご,after this; from now on; hereafter
以降,いこう,"on and after, hereafter"
勇ましい,いさましい,"brave, valiant"
衣食住,いしょくじゅう,"food, clothing and shelter"
いちいち,いちいち,"one by one, separately"
一応,いちおう,"tentatively, for the time being"
一段と,いちだんと,"by far, greater"
一流,いちりゅう,"first class, leading"
一昨日,いっさくじつ,day before yesterday
一昨年,いっさくねん,year before last
一斉,いっせい,"simultaneous, all at once"
一旦,いったん,"once, for a moment"
一定,いってい,"fixed, settled, regular"
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you"
行ってらっしゃい,いってらっしゃい,"have a nice day, see you"
移転,いてん,"moving, transfer"
井戸,いど,water well
緯度,いど,latitude navigation
威張る,いばる,"to be proud, to swagger"
嫌がる,いやがる,"reluctant, to dislike"
煎る,いる,to roast
炒る,いる,"to parch, to roast"
入れ物,いれもの,"container, case"
引力,いんりょく,gravity
植木,うえき,"garden shrubs, trees, potted plant"
飢える,うえる,to starve
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind"
浮かべる,うかべる,to float; to express
浮く,うく,to float
承る,うけたまわる,"humble to hear, to be told, to know"
受取,うけとり,receipt
受け持つ,うけもつ,to take be in charge of
薄暗い,うすぐらい,"dim, gloomy"
薄める,うすめる,"to dilute, to water down"
打合せ,うちあわせ,"business meeting, previous arrangement"
打ち消す,うちけす,"to deny, to negate"
写る,うつる,"to be photographed, to be projected"
有無,うむ,"existence or nonexistence, presence of absence consent or refusal, yes or no"
埋める,うめる,"to bury, to fill up, to fill a seat, a vacant position"
敬う,うやまう,"to show respect, to honor"
裏返す,うらがえす,"to turn inside out, to turn something over"
裏口,うらぐち,"backdoor, rear entrance"
占う,うらなう,"to predict, to divine"
恨み,うらみ,resentment
恨む,うらむ,"to curse, to feel bitter"
羨む,うらやむ,to envy
売上,うりあげ,"amount sold, proceeds"
売り上げ,うりあげ,"amount sold, sales, proceeds, takings, turnover"
売り切れ,うりきれ,sold-out
売り切れる,うりきれる,to be sold out
売行き,うれゆき,sales
売れ行き,うれゆき,"sales, demand"
上,うわ,upper ~
運河,うんが,"canal, waterway"
英文,えいぶん,sentence in English
英和,えいわ,"English-Japanese e.g., dictionary"
液体,えきたい,"liquid, fluid"
絵の具,えのぐ,"colors, paints"
偉い,えらい,"great, celebrated, remarkable,"
宴会,えんかい,"party, banquet"
園芸,えんげい,"horticulture, gardening"
演劇,えんげき,play theatrical
円周,えんしゅう,circumference
遠足,えんそく,"trip, hike, picnic"
延長,えんちょう,"extension, prolongation"
煙突,えんとつ,chimney
追いかける,おいかける,to chase or run after someone
追い越す,おいこす,"to pass e.g., car, to outdistance, to outstrip"
応援,おうえん,"aid, assistance, help, support, reinforcement cheering, rooting for, support"
王女,おうじょ,princess
応ずる,おうずる,"to respond, to comply with"
応接,おうせつ,reception
応対,おうたい,"receiving, dealing with"
往復,おうふく,"col round trip, coming and going, return ticket"
欧米,おうべい,"Europe and America, the West"
応用,おうよう,"application, put to practical use"
おおざっぱ,おおざっぱ,"rough not precise, broad, sketchy"
大通り,おおどおり,main street
大凡,おおよそ,"about, approximately"
お帰り,おかえり,"return, welcome"
おかけください,おかけください,please sit down
おかげさまで,おかげさまで,"Thanks to god, thanks to you"
おかず,おかず,"side dish, accompaniment for rice dishes"
おかまいなく,おかまいなく,please don't fuss over me
拝む,おがむ,"to worship, to pray"
お代わり,おかわり,"second helping, another cup"
補う,おぎなう,to compensate for
お気の毒に,おきのどくに,I'm sorry to hear that…
屋外,おくがい,outdoors
送り仮名,おくりがな,part of word written in kana
お元気で,おげんきで,Take care'
怠る,おこたる,"to neglect, to fail"
押さえる,おさえる,"to pin down, to hold down, to press down, to hold in place, to hold steady to cover esp. a part of one's body with one's hand, to clutch a body part in pain, to press a body part to get a hold of, to obtain, to seize, to catch, to arrest"
お先に,おさきに,"before, after you"
伯父,おじ,humble uncle older than one's parent
叔父,おじ,uncle younger than one's parent
惜しい,おしい,"regrettable, disappointing"
伯父さん,おじさん,"hon. middle-aged gentleman, uncle"
小父さん,おじさん,"hon. middle-aged gentleman, uncle"
叔父さん,おじさん,"hon. middle-aged gentleman, uncle"
お邪魔します,おじゃまします,Excuse me for disturbing you
お世話になりました,おせわになりました,I've been in your care
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon"
落着く,おちつく,"to calm down, to settle down"
お出掛け,おでかけ,outing
お手伝いさん,おてつだいさん,maid
脅かす,おどかす,"to threaten, to coerce"
落し物,おとしもの,lost property
驚かす,おどろかす,"to surprise, to frighten"
お願いします,おねがいします,"Please lit., I request"
各々,おのおの,"each, every, either"
伯母,おば,humble aunt older than one's parent
叔母,おば,aunt younger than one's parent
小母さん,おばさん,"lady, woman, ma'am"
おはよう,おはよう,abbr. Good morning
お参り,おまいり,"worship, shrine visit"
お待たせしました,おまたせしました,Sorry to have kept you waiting
お待ちください,おまちください,Please wait a moment
おまちどおさま,おまちどおさま,Sorry to have kept you waiting
おめでたい,おめでたい,"happy event, matter for congratulation"
思い掛けない,おもいがけない,"unexpected, casual"
思い切り,おもいきり,"with all one's strength heart, resignation, resolution"
思い込む,おもいこむ,"to be under impression that, to be convinced that"
思いっ切り,おもいっきり,"very, much, fully"
思いっきり,おもいっきり,to the best of one's ability
重たい,おもたい,"heavy, massive, serious"
お休み,おやすみ,"holiday, absence; exp. Good night"
親指,おやゆび,thumb
御,おん,honorific ~
恩恵,おんけい,"blessing, benefit"
温室,おんしつ,greenhouse
温泉,おんせん,"spa, hot spring"
温帯,おんたい,temperate zone
御中,おんちゅう,Messrs.
女の人,おんなのひと,woman
蚊,か,mosquito
貝,かい,"shell, shellfish"
外,がい,"foreign ~, outside ~"
開会,かいかい,opening of a meeting
会館,かいかん,"meeting hall, assembly hall"
改札,かいさつ,examination of tickets
解散,かいさん,"breakup, dissolution"
海水浴,かいすいよく,"sea bathing, seawater bath"
回数,かいすう,"number of times, frequency"
回数券,かいすうけん,book of tickets
改正,かいせい,"revision, amendment, alteration"
快晴,かいせい,good weather
解説,かいせつ,"explanation, commentary"
改造,かいぞう,remodeling
開通,かいつう,"opening, open"
回転,かいてん,"rotation, turning"
解答,かいとう,"answer, solution"
回答,かいとう,"reply, answer"
外部,がいぶ,"the outside, external"
解放,かいほう,"release, liberation, emancipation"
開放,かいほう,"open, throw open, liberalization"
海洋,かいよう,ocean
概論,がいろん,"introduction, general remark"
却って,かえって,"on the contrary, rather"
家屋,かおく,"house, building"
係わる,かかわる,"to concern oneself in, to be involved in"
書留,かきとめ,registered mail
書取,かきとり,dictation
垣根,かきね,hedge
限り,かぎり,"limits, as far as possible"
各,かく,"every ~, each ~"
架空,かくう,"imaginary, fiction, fanciful"
各自,かくじ,"individual, each"
拡充,かくじゅう,expansion
学術,がくじゅつ,"science, learning, scholarship"
各地,かくち,various parts of the country
拡張,かくちょう,"expansion, extension"
角度,かくど,angle
学年,がくねん,"year in school, grade in school"
学部,がくぶ,"department of a university undergraduate course, program, etc."
格別,かくべつ,exceptional
確率,かくりつ,probability
学力,がくりょく,"scholarship, knowledge"
掛け算,かけざん,multiplication
かけざん,かけざん,multiplication
可決,かけつ,"approval, adoption e.g., motion, bill, passage"
火口,かこう,crater of a volcano
下降,かこう,"decline, descent, fall"
重ねる,かさねる,"to pile up, to heap up, to stack up, to put on top of another to repeat many times over, to go through repeatedly, to accumulate"
飾り,かざり,"decoration, ornament, trimmings"
火山,かざん,volcano
貸し出し,かしだし,"lending, loaning"
過失,かしつ,"error, mistake, negligence"
果実,かじつ,fruit
貸間,かしま,room to let
貸家,かしや,house for rent
箇所,かしょ,"place, point, part"
過剰,かじょう,"excess, over-"
課税,かぜい,taxation
下線,かせん,"underline, underscore"
加速,かそく,acceleration
加速度,かそくど,acceleration
塊,かたまり,"lump, mass, cluster"
固まる,かたまる,"to harden, to solidify, to become firm"
片道,かたみち,one-way trip
傾く,かたむく,"to incline toward, to slant, to lurch"
片寄る,かたよる,"to be one-sided, to incline, to be partial"
学科,がっか,"study subject, course of study"
学会,がっかい,academic conference
楽器,がっき,musical instrument
学級,がっきゅう,class
担ぐ,かつぐ,"to shoulder, to carry on shoulder"
括弧,かっこ,"parenthesis, brackets"
活字,かつじ,printing type
勝手に,かってに,"arbitrarily,"
活躍,かつやく,"activity esp. energetic or successful, great efforts, active participation"
活力,かつりょく,"vitality, energy"
課程,かてい,"course, curriculum"
仮名,かな,kana
仮名遣い,かなづかい,"kana orthography, syllabary spelling"
鐘,かね,"bell often a large hanging bell, chime"
加熱,かねつ,heating
兼ねる,かねる,to simultaneously serve two or more functions
過半数,かはんすう,majority
被せる,かぶせる,to cover with something
釜,かま,"iron pot, kettle"
構いません,かまいません,it's all right; one doesn’t mind
紙屑,かみくず,wastepaper
神様,かみさま,god
剃刀,かみそり,razor
貨物,かもつ,"cargo, freight"
歌謡,かよう,"song, ballad"
殻,から,"shell, husk, hull, pod, chaff"
空っぽ,からっぽ,"empty, vacant, hollow"
枯れる,かれる,"to wither, to die plant, to be blasted plant"
可愛がる,かわいがる,"to love, to be affectionate"
乾かす,かわかす,"to dry clothes, etc., to desiccate"
為替,かわせ,"money order, exchange"
瓦,かわら,roof tile
間隔,かんかく,"space, interval space character, whitespace"
換気,かんき,ventilation
感激,かんげき,"deep emotion, impression, inspiration"
関西,かんさい,"south-western half of Japan, including Osaka"
元日,がんじつ,New Year's Day
鑑賞,かんしょう,appreciation
感ずる,かんずる,"to feel, to sense"
間接,かんせつ,"indirect, indirectness"
乾燥,かんそう,"dry, arid, insipid, dehydrated"
感想,かんそう,"impressions, thoughts, feelings, reactions"
観測,かんそく,observation
寒帯,かんたい,frigid zone
勘違い,かんちがい,"misunderstanding, wrong guess"
官庁,かんちょう,"government office, authorities"
缶詰,かんづめ,"canning, canned goods,"
乾電池,かんでんち,"dry cell, battery"
関東,かんとう,"eastern half of Japan, including Tokyo"
観念,かんねん,"idea, notion; sense"
乾杯,かんぱい,Cheers! a toast
看板,かんばん,"sign, signboard"
看病,かんびょう,nursing a patient
冠,かんむり,"crown, wreath"
漢和,かんわ,"Chinese Character-Japanese e.g., dictionary"
気圧,きあつ,atmospheric pressure
着替え,きがえ,"changing clothes, change of clothes"
着替える,きがえる,to change one's clothes
機関車,きかんしゃ,"locomotive, engine"
飢饉,ききん,famine
器具,きぐ,instrument
期限,きげん,"term, period, time frame time limit, deadline, cutoff date"
記号,きごう,"symbol, code"
刻む,きざむ,"to mince, to carve, to engrave"
儀式,ぎしき,"ceremony, rite, ritual"
基準,きじゅん,"standard, basis, criteria"
規準,きじゅん,"standard, basis, criteria"
起床,きしょう,"rising, getting out of bed"
着せる,きせる,to put on clothes
基礎,きそ,"foundation, basis"
基地,きち,base
切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occassion"
基盤,きばん,"foundation, basis"
客席,きゃくせき,guest seating
客間,きゃくま,"parlor, guest room"
休業,きゅうぎょう,"closure, shutdown, holiday"
休講,きゅうこう,lecture canceled
休息,きゅうそく,"rest, relief, relaxation"
給与,きゅうよ,salary
休養,きゅうよう,"rest, break, recreation"
清い,きよい,"clear, pure, noble"
強化,きょうか,"strengthen, intensify, reinforce"
境界,きょうかい,boundary
共産,きょうさん,communist ~
行事,ぎょうじ,"event, function"
恐縮,きょうしゅく,sorry to trouble
教養,きょうよう,"culture, education, sophistication"
行列,ぎょうれつ,"line, procession; matrix math"
漁業,ぎょぎょう,fishing industry
曲線,きょくせん,curve
規律,きりつ,"order, rules, law"
斬る,きる,"to behead, to murder"
気を付ける,きをつける,"to be careful, to pay attention, to take care"
琴,きん,13-string Japanese zither
金魚,きんぎょ,goldfish
区域,くいき,"zone, district, area"
空,くう,empty ~
偶数,ぐうすう,even number
空想,くうそう,"daydream, fantasy"
空中,くうちゅう,"sky, air"
釘,くぎ,nail
区切る,くぎる,"to punctuate, to cut off, to mark off"
櫛,くし,comb
苦情,くじょう,"complaint, grievance, grumble"
苦心,くしん,"pain, trouble"
屑,くず,"waste, scrap"
崩す,くずす,"to destroy, to make change money"
薬指,くすりゆび,ring finger
崩れる,くずれる,"to collapse, to crumble"
砕く,くだく,"to break, to smash"
砕ける,くだける,"to break, to be broken"
下る,くだる,"to descend, to go down, to come down"
唇,くちびる,lip
口紅,くちべに,lipstick
句読点,くとうてん,punctuation marks
配る,くばる,"to distribute, to deliver"
工夫,くふう,"device, artifice, ingenuity"
区分,くぶん,"division, section, classification"
組合せ,くみあわせ,combination
組み立てる,くみたてる,"to assemble, to set up, to construct"
悔やむ,くやむ,"to regret, to mourn"
郡,ぐん,"district, county"
稽古,けいこ,"practice, training, study"
敬語,けいご,"honorific language lit., respect language"
蛍光灯,けいこうとう,fluorescent lamp
形式,けいしき,"form, formality, format"
継続,けいぞく,continuation
毛糸,けいと,knitting wool
経度,けいど,longitude
系統,けいとう,"system, genealogy"
芸能,げいのう,"public entertainment, performing arts"
競馬,けいば,horse racing
警備,けいび,"defense, guard, policing, security"
形容詞,けいようし,adjective
形容動詞,けいようどうし,"adjectival noun, quasi-adjective"
外科,げか,surgical department
毛皮,けがわ,"fur, skin, pelt"
激増,げきぞう,sudden increase
下車,げしゃ,"alighting, getting off"
下旬,げじゅん,month last third of
下水,げすい,"drainage, sewage, ditch, gutter, sewerage"
削る,けずる,"to cut down little by little, to take a percentage"
桁,けた,"column, beam, digit"
下駄,げた,"Japanese footwear, wooden clogs"
血圧,けつあつ,blood pressure
月給,げっきゅう,monthly salary
傑作,けっさく,"masterpiece, best work"
月末,げつまつ,end of the month
気配,けはい,"indication, sign, hint"
下品,げひん,"vulgar, indecent, coarse"
下品な,げひんな,vulgar
煙い,けむい,smoky
険しい,けわしい,"steep, rugged; severe"
現,げん,"present, incumbent"
見学,けんがく,"tour, study by observation"
謙虚,けんきょ,"modesty, humble"
原稿,げんこう,"manuscript, copy"
原産,げんさん,place of origin
原始,げんし,"origin, primeval"
研修,けんしゅう,training
厳重,げんじゅう,"strict, severe, firm"
謙遜,けんそん,"humble, humility, modesty"
県庁,けんちょう,prefectural office
限度,げんど,"limit, bounds"
現に,げんに,"actually, really"
顕微鏡,けんびきょう,microscope
懸命,けんめい,"eagerness, strenuous"
原理,げんり,"principle, theory, fundamental truth"
原料,げんりょう,raw materials
碁,ご,go board game
小,こ,small ~
恋しい,こいしい,"dear, beloved; to miss"
高,こう,high level ~
工員,こういん,factory worker
強引,ごういん,"forcible, assertive, pushy"
公害,こうがい,"public nuisance, pollution"
高級,こうきゅう,high class; first-rate
公共,こうきょう,"public, community, communal"
工芸,こうげい,industrial arts
孝行,こうこう,filial piety
交差,こうさ,cross
講師,こうし,lecturer
工事,こうじ,construction work
公式,こうしき,"formula, formality, official"
口実,こうじつ,excuse
こうして,こうして,"like this, with this"
校舎,こうしゃ,"school building, schoolhouse"
公衆,こうしゅう,the public
香水,こうすい,perfume
公正,こうせい,"justice, fairness, impartiality"
功績,こうせき,"achievements, merit"
光線,こうせん,"beam, light ray"
高層,こうそう,"tall, high rise"
構造,こうぞう,"structure, construction"
交替,こうたい,"change, relief, alteration"
交代,こうたい,"alternation, change, relief, relay, shift, substitution sports, etc., taking turns"
耕地,こうち,arable land
交通機関,こうつうきかん,transportation facilities
校庭,こうてい,school yard
肯定,こうてい,"positive, affirmation"
高度,こうど,"altitude, height; advanced"
高等,こうとう,"high class, high grade"
合同,ごうどう,"combination, incorporation"
高等学校,こうとうがっこう,senior high school
公表,こうひょう,"official announcement, proclamation"
鉱物,こうぶつ,mineral
公務,こうむ,"official business, public business"
項目,こうもく,item
